Reaction,N,C,SubS,Solvent,H-X-CNu,AverageL2,exp-ee,iminium,solvent,catalyst,nucleophile,
50,-0.533,0.306,0.255,3.021,180,4.71,2.17,iminium-87-E,toluene,"2,4,6-i PrC6H2",PhCH2CH2,
212,-0.440,0.301,0.770,2.583,180,9.12,1.41,iminium-129-E,diethyl ether,9-Anthryl,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
166,-0.533,0.306,0.255,3.401,180,2.58,0.86,iminium-87-E,ethyl acetate,1-Naphthyl,tert-Butyl hydroperoxide,
168,-0.533,0.306,0.255,3.401,180,4.71,1.1,iminium-87-E,ethyl acetate,"2,4,6-i PrC6H2",tert-Butyl hydroperoxide,
170,-0.533,0.306,0.255,3.021,180,2.58,1.15,iminium-87-E,toluene,9-Phenanthryl,tert-Butyl hydroperoxide,
174,-0.533,0.306,0.255,3.715,180,2.58,1.53,iminium-87-E,iPrOAc,9-Phenanthryl,tert-Butyl hydroperoxide,
173,-0.533,0.306,0.255,3.401,180,2.58,1.45,iminium-87-E,EtOAc,9-Phenanthryl,tert-Butyl hydroperoxide,
41,-0.541,0.296,0.254,3.021,180,4.71,2.72,iminium-92-E,toluene,"2,4,6-i PrC6H2",PhSH,
9,-0.533,0.306,0.255,3.401,180,9.12,2.17,iminium-87-E,ethyl acetate,9-anthryl,CHCCH2CH2OH,
206,-0.431,0.310,0.767,3.021,180,9.12,1.81,iminium-124-E,toluene,9-Anthryl,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
2,-0.533,0.306,0.255,3.401,180,9.12,1.74,iminium-87-E,ethyl acetate,9-anthryl,EtOH,
178,-0.532,0.306,0.254,3.715,180,2.58,2.48,iminium-75-E,iPrOAc,9-Phenanthryl,tert-Butyl hydroperoxide,
45,-0.533,0.306,0.255,3.021,180,4.71,2.3,iminium-87-E,toluene,"2,4,6-i PrC6H2","3,5-(Me)2C6H",
44,-0.533,0.306,0.255,3.021,180,4.71,2.72,iminium-87-E,toluene,"2,4,6-i PrC6H2",4-MeOC6H4,
26,-0.533,0.306,0.255,3.581,180,4.71,1.88,iminium-87-E,MTBE,"2,4,6-i PrC6H2",PhSH,
