Unnamed: 0,v_av_central_atom,v_av_nu_atom,sasa_ratio_nu,sasa_ratio_central,epn_central,epn_nu,epn_lg,epn_central_ts,epn_nu_ts,epn_lg_ts,nu_charge,nu_charge_ts,central_charge,central_charge_ts,lg_charge,lg_charge_ts,omega,n,local_electrophilicity_center,local_nucleophilicity_nu,is_av,es_av,p_int_central,p_int_nu,bo_sub_lg,bo_nu_ts,bo_lg_ts,bo_prod_nu,pc_1,pc_2,pc_3,pc_4,pc_5,activation_energy,exp_activation_energy
15,14.5,-19.4,0.1576444769568398,0.0439715137462736,-14.608482,-18.368394,-64.33566,-14.602355,-18.273978,-64.359013,-0.502516,-0.23875,0.135721,0.221135,-0.082964,-0.156878,0.2672876579666,-6.26486183284003,0.0298979999999999,-0.100409,6.96,-1.05,27.086227158528445,15.815189806442666,1.118899,0.241725,0.951262,1.298892,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,19.255546132847787,20.15
16,19.9,-19.4,0.1582845647403072,0.0626035110963895,-14.576409,-18.368394,-26.480463,-14.579129,-18.284668,-26.509451,-0.502695,-0.272306,0.313837,0.360359,-0.163073,-0.208494,0.2658041682093451,-6.264861315824523,0.0359518749999999,-0.100408,6.96,-1.08,23.40147444688711,15.803176538233302,1.184145,0.22779,1.0983,1.298814,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,15.253527898863895,16.47
17,22.0,-13.0,0.1062545720555962,0.0442199403776084,-14.591268,-18.366042,-64.322625,-14.586912,-18.260664,-64.340316,-0.479334,-0.247516,0.14496,0.215838,-0.06653,-0.125534,0.2316666256271577,-6.017909533754451,0.0377151249999999,-0.070638,6.72,-1.14,27.939099330334525,18.50064294865665,1.12129,0.219717,0.987969,1.277256,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,16.09536323113134,17.81
18,7.8,-12.9,0.1067117776152158,0.0551507121563431,-14.600648,-18.366041,-64.361001,-14.600437,-18.28704,-64.388472,-0.480255,-0.244071,0.281836,0.35123,-0.115032,-0.196223,0.265678948604269,-6.017717530220431,0.026066875,-0.070641,6.73,-1.12,26.26978037210857,18.840884313239396,1.059226,0.238795,0.892962,1.2339,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,17.49891241692484,19.41
19,21.3,-19.4,0.1576444769568398,0.0529976813514408,-14.577111,-18.368394,-26.475222,-14.573304,-18.264259,-26.49997,-0.502246,-0.25873,0.356201,0.40282,-0.173274,-0.218696,0.267359559556247,-6.264854186440988,0.04162925,-0.100406,6.96,-0.91,23.680422719152645,15.875033487063549,1.152497,0.253043,1.055646,1.284741,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,17.716607386960995,19.68
20,15.1,-12.9,0.106437454279444,0.05804902285525,-14.595899,-18.366041,-64.347559,-14.586597,-18.252116,-64.36538,-0.480244,-0.21072,0.339428,0.406214,-0.140253,-0.221125,0.2455870473472684,-6.01771423764274,0.036708875,-0.070641,6.72,-0.99,25.47465104867051,18.84022550139842,1.046466,0.266963,0.851821,1.240456,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,22.47841345478308,19.44
21,23.5,-12.8,0.1063460131675201,0.0462901623053991,-14.594009,-18.366041,-64.323248,-14.585503,-18.242608,-64.340044,-0.480446,-0.21913,0.15613,0.239331,-0.079811,-0.14755,0.2389204110152296,-6.017710319204375,0.037514,-0.07064,6.73,-1.09,27.564128264279272,18.76620455363316,1.119087,0.261057,0.955621,1.257103,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,19.199299939825725,20.47
22,27.6,-12.9,0.1058888076079005,0.062272275587943,-14.557542,-18.366041,-26.46472,-14.561384,-18.272847,-26.4882,-0.480276,-0.280218,0.325506,0.360541,-0.153672,-0.188735,0.2506502513554828,-6.017754973088379,0.044268125,-0.070639,6.72,-1.15,23.27277384460605,18.502610312176525,1.189447,0.202941,1.121631,1.2777,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,12.547285353241437,14.185
23,27.6,-12.9,0.106437454279444,0.064259688638622,-14.563385,-18.366041,-26.464503,-14.563587,-18.258141,-26.488505,-0.480257,-0.255702,0.333393,0.376648,-0.16673,-0.206795,0.2598457766707109,-6.0177147002375975,0.040256,-0.070641,6.72,-1.08,23.291105994498743,18.76694145312606,1.177835,0.235338,1.086137,1.257063,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,15.484571233463951,17.88
24,13.2,-12.9,0.1066203365032918,0.0395826432593574,-14.598382,-18.366041,-64.335386,-14.590235,-18.271941,-64.364161,-0.480318,-0.228751,0.078311,0.177422,-0.038407,-0.11369,0.2557086792554174,-6.017714264855385,0.020385625,-0.07064,6.72,-1.31,28.69840719732044,18.84039531502183,1.129291,0.245598,0.9795,1.227516,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,17.508699053338518,19.66
25,14.7,-12.8,0.1063460131675201,0.0437230871149387,-14.608134,-18.366041,-64.335536,-14.602285,-18.265899,-64.358493,-0.480269,-0.231148,0.136381,0.226096,-0.082424,-0.154862,0.2667966175594665,-6.01771902684785,0.0306451249999999,-0.070641,6.73,-1.05,27.50181632349278,18.63077195275608,1.117784,0.249354,0.944991,1.255021,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,18.99327038451277,20.9
26,19.8,-12.9,0.1065288953913679,0.0617754223252732,-14.576111,-18.366041,-26.480198,-14.579449,-18.277971,-26.509541,-0.480082,-0.267681,0.316789,0.364217,-0.163279,-0.208409,0.2668827294268331,-6.017712441692467,0.036862,-0.07064,6.72,-1.09,23.41607352276728,18.84035959363696,1.183454,0.232554,1.091591,1.255914,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,15.27173319695697,16.99
27,21.2,-12.9,0.1059802487198244,0.0532461079827757,-14.577095,-18.366042,-26.475122,-14.595125,-18.172996,-26.65388,-0.479676,-0.092865,0.35622,0.398727,-0.172881,-0.600355,0.2673495841639979,-6.017804144060323,0.041638625,-0.070638,6.72,-0.91,23.9070296403341,18.78380716036228,1.153053,0.759454,0.419764,1.23133,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,20.496048910271163,21.04
28,23.1,-131.1,0.5791109729561703,0.0439715137462736,-14.588204,-59.470317,-64.321095,-14.745761,-59.366625,-64.475468,-0.956018,-0.536967,0.145665,0.1901,-0.063178,-0.123869,0.2115997381141562,-4.011232692030701,0.03530475,-0.090631,5.3,-1.19,27.434851372378045,16.854982046791065,1.122033,0.21083,1.025445,1.107464,-6.8371,-3.676,1.11638,-2.0345,-0.948893,8.112336437926402,18.35
29,23.1,-123.5,0.5780230027976375,0.0438887048691619,-14.588206,-59.453142,-64.321094,-14.732578,-59.351543,-64.467798,-0.917928,-0.51365,0.145705,0.199328,-0.063187,-0.119542,0.2115995826875094,-4.369178244307747,0.035304625,-0.0982360000000001,5.47,-1.19,27.25694162898351,16.758297877564637,1.12207,0.234438,1.011928,1.104485,-6.8371,-3.676,1.11638,-2.0345,-0.948893,10.32700876800103,19.79
30,23.3,-127.0,0.5771681691016475,0.0439715137462736,-14.588206,-59.460096,-64.321094,-14.73746,-59.360442,-64.471474,-0.918135,-0.520901,0.145704,0.200851,-0.063186,-0.119659,0.2115985345761183,-4.358811414096768,0.035304625,-0.096109,5.45,-1.19,27.9536230975585,16.787186363795257,1.122064,0.231353,1.012853,1.10413,-6.8371,-3.676,1.11638,-2.0345,-0.948893,10.681951335887485,19.77
31,23.2,-128.8,0.5792663972645322,0.0439715137462736,-14.588205,-59.464967,-64.321094,-14.742408,-59.363894,-64.474028,-0.943131,-0.534243,0.145716,0.191858,-0.063204,-0.121211,0.2115990458845959,-4.158090006485595,0.03530475,-0.0958719999999999,5.36,-1.19,27.842025417350207,16.875139971387988,1.122062,0.218693,1.021959,1.104521,-6.8371,-3.676,1.11638,-2.0345,-0.948893,8.80970780167797,18.81
32,23.1,-128.7,0.5790332608019895,0.0440543226233852,-14.58821,-59.464115,-64.321095,-14.740304,-59.362024,-64.47318,-0.930194,-0.523619,0.145783,0.196874,-0.063203,-0.121657,0.2116293821402774,-4.2602690566775445,0.035306125,-0.1008139999999999,5.39,-1.19,27.07740775132702,16.89551279577948,1.122133,0.227994,1.015009,1.106144,-6.8371,-3.676,1.11638,-2.0345,-0.948893,10.052012149735674,19.05
33,23.2,-121.7,0.5777898663350948,0.0439715137462736,-14.588204,-59.448246,-64.321095,-14.730975,-59.347145,-64.466982,-0.900966,-0.498534,0.145667,0.200559,-0.063168,-0.120622,0.211600898332679,-4.430658668075499,0.0353045,-0.0999839999999999,5.52,-1.19,27.953488642227903,16.86003432192531,1.121973,0.24537,1.005749,1.104963,-6.8371,-3.676,1.11638,-2.0345,-0.948893,11.14357053288043,20.16
34,23.2,-125.7,0.5760801989431147,0.0439715137462736,-14.588205,-59.457782,-64.321094,-14.740487,-59.362651,-64.474336,-0.910761,-0.509659,0.145726,0.201165,-0.063195,-0.121968,0.2115983103333541,-4.351759692508801,0.0353045,-0.185844,5.45,-1.19,27.95360841053191,17.11770997177927,1.122054,0.237283,1.008944,1.100183,-6.8371,-3.676,1.11638,-2.0345,-0.948893,10.794021391976102,19.75
